video_name,mean_qp,quant,Resolution,Framerate,context,p1204_3_score,mos,ci,std,video_width,video_height,video_bitrate,video_codec,src,p1204_3_score_linearly_mapped
1280_720_3000K_av1_Center_Panorama.mkv,40.115,0.1573137254901961,921600,60,TV,3.652397945161534,3.0476190476190474,0.3937665290296089,0.9206622874969124,1280,720p,3000.0,av1,Center_Panorama,3.2685774710192304
1280_720_3000K_av1_DevilMayCry5_P2.mkv,129.27833333333334,0.5069738562091504,921600,60,TV,3.344349404549906,3.142857142857143,0.3650686263464024,0.8535639569308374,1280,720p,3000.0,av1,DevilMayCry5_P2,2.867290038841123
1280_720_3000K_av1_Fireworks.mkv,168.785,0.6619019607843137,921600,60,TV,3.068586077768547,3.380952380952381,0.3165029166236113,0.7400128699009549,1280,720p,3000.0,av1,Fireworks,2.5080597789825037
1280_720_3000K_av1_Flowers.mkv,135.415,0.5310392156862744,921600,60,TV,3.3090584837530224,2.9047619047619047,0.4035985521071569,0.9436504599035548,1280,720p,3000.0,av1,Flowers,2.821317404276245
1280_720_3000K_av1_PES2019v2_P2.mkv,98.785,0.3873921568627451,921600,60,TV,3.4872711785231894,2.952380952380953,0.344190001717332,0.8047478161629563,1280,720p,3000.0,av1,PES2019v2_P2,3.053470799724474
1280_720_500K_av1_Center_Panorama.mkv,94.02833333333334,0.3687385620915033,921600,60,TV,3.505353295486481,2.571428571428572,0.4184338641055196,0.9783367810436532,1280,720p,500.0,av1,Center_Panorama,3.0770259390221204
1280_720_500K_av1_DevilMayCry5_P2.mkv,217.955,0.8547254901960785,921600,60,TV,2.5150670704521216,1.5,0.3016320928506985,0.6882472016116853,1280,720p,500.0,av1,DevilMayCry5_P2,1.7870038679018498
1280_720_500K_av1_Fireworks.mkv,239.7933333333333,0.9403660130718954,921600,60,TV,2.1690116867989584,1.5714285714285714,0.289177442715808,0.6761234037828133,1280,720p,500.0,av1,Fireworks,1.3362058345079344
1280_720_500K_av1_Flowers.mkv,217.74,0.8538823529411765,921600,60,TV,2.51813541151068,1.380952380952381,0.2521681465399702,0.5895922723535711,1280,720p,500.0,av1,Flowers,1.7910009220738674
1280_720_500K_av1_PES2019v2_P2.mkv,181.38666666666663,0.7113202614379085,921600,60,TV,2.952487659749692,1.5714285714285714,0.2555991633881653,0.5976143046671969,1280,720p,500.0,av1,PES2019v2_P2,2.3568211593992876
1280_720_8000K_av1_Center_Panorama.mkv,25.33333333333333,0.0993464052287581,921600,60,TV,3.678556213346241,3.4761904761904763,0.3733264732457245,0.8728715609439694,1280,720p,8000.0,av1,Center_Panorama,3.3026532184622335
1280_720_8000K_av1_DevilMayCry5_P2.mkv,68.44666666666667,0.2684183006535948,921600,60,TV,3.586945509028787,3.761904761904762,0.3553962143314763,0.8309489698388165,1280,720p,8000.0,av1,DevilMayCry5_P2,3.1833141551360837
1280_720_8000K_av1_Fireworks.mkv,122.695,0.481156862745098,921600,60,TV,3.379575060121043,3.7142857142857135,0.3352151601561833,0.7837638128197258,1280,720p,8000.0,av1,Fireworks,2.91317765396459
1280_720_8000K_av1_Flowers.mkv,85.58666666666667,0.3356339869281046,921600,60,TV,3.535056427133876,3.4285714285714284,0.3721579994148018,0.870139561876632,1280,720p,8000.0,av1,Flowers,3.1157194949232956
1280_720_8000K_av1_PES2019v2_P2.mkv,48.88666666666666,0.1917124183006535,921600,60,TV,3.634481478417662,3.142857142857143,0.2799948549342934,0.6546536707079772,1280,720p,8000.0,av1,PES2019v2_P2,3.24523812028224
1920_1080_1000K_av1_Center_Panorama.mkv,102.65166666666669,0.4025555555555555,2073600,60,TV,4.053794585759106,3.619047619047619,0.3165029166236114,0.7400128699009549,1920,1080p,1000.0,av1,Center_Panorama,3.7914672301153267
1920_1080_1000K_av1_DevilMayCry5_P2.mkv,220.535,0.8648431372549019,2073600,60,TV,3.099314554834919,2.2857142857142856,0.3352151601561833,0.7837638128197257,1920,1080p,1000.0,av1,DevilMayCry5_P2,2.548089027724359
