stimuli_file,mos,ci,std
1280_720_3000K_av1_Center_Panorama.mkv,3.0476190476190474,0.39376652902960896,0.9206622874969125
1280_720_3000K_av1_DevilMayCry5_P2.mkv,3.142857142857143,0.36506862634640247,0.8535639569308374
1280_720_3000K_av1_Fireworks.mkv,3.380952380952381,0.31650291662361135,0.7400128699009549
1280_720_3000K_av1_Flowers.mkv,2.9047619047619047,0.40359855210715695,0.9436504599035547
1280_720_3000K_av1_PES2019v2_P2.mkv,2.9523809523809526,0.34419000171733205,0.8047478161629563
1280_720_3000K_hevc_Center_Panorama.mkv,2.4285714285714284,0.41843386410551964,0.9783367810436533
1280_720_3000K_hevc_DevilMayCry5_P2.mkv,2.619047619047619,0.21282883516685297,0.49761335152811925
1280_720_3000K_hevc_Fireworks.mkv,2.619047619047619,0.3698099759783415,0.8646496675642961
1280_720_3000K_hevc_Flowers.mkv,2.238095238095238,0.2995348845448487,0.7003400534570262
1280_720_3000K_hevc_PES2019v2_P2.mkv,2.1904761904761907,0.25729751538324863,0.6015852075182383
1280_720_3000K_vvc_Center_Panorama.mkv,2.8095238095238093,0.41947345294778726,0.9807674351775562
1280_720_3000K_vvc_DevilMayCry5_P2.mkv,3.0,0.3578388287434314,0.8366600265340756
1280_720_3000K_vvc_Fireworks.mkv,2.9523809523809526,0.39376652902960896,0.9206622874969125
1280_720_3000K_vvc_Flowers.mkv,3.1904761904761907,0.4610241857319292,1.0779168622415933
1280_720_3000K_vvc_PES2019v2_P2.mkv,2.9545454545454546,0.35262549743488636,0.8438727464026861
1280_720_500K_av1_Center_Panorama.mkv,2.5714285714285716,0.41843386410551964,0.9783367810436533
1280_720_500K_av1_DevilMayCry5_P2.mkv,1.5,0.30163209285069853,0.6882472016116853
1280_720_500K_av1_Fireworks.mkv,1.5714285714285714,0.28917744271580803,0.6761234037828133
1280_720_500K_av1_Flowers.mkv,1.380952380952381,0.2521681465399702,0.5895922723535711
1280_720_500K_av1_PES2019v2_P2.mkv,1.5714285714285714,0.25559916338816535,0.5976143046671969
1280_720_500K_hevc_Center_Panorama.mkv,1.9047619047619047,0.40359855210715695,0.9436504599035547
1280_720_500K_hevc_DevilMayCry5_P2.mkv,1.0952380952380953,0.12864875769162432,0.30079260375911915
1280_720_500K_hevc_Fireworks.mkv,1.1428571428571428,0.2044793307105322,0.4780914437337574
1280_720_500K_hevc_Flowers.mkv,1.3333333333333333,0.28154608483752547,0.6582805886043833
1280_720_500K_hevc_PES2019v2_P2.mkv,1.1428571428571428,0.15335949803289917,0.3585685828003181
1280_720_500K_vvc_Center_Panorama.mkv,2.142857142857143,0.3893170468825808,0.9102589898327995
1280_720_500K_vvc_DevilMayCry5_P2.mkv,1.380952380952381,0.2521681465399702,0.5895922723535711
1280_720_500K_vvc_Fireworks.mkv,1.6666666666666667,0.31234733701164075,0.7302967433402214
1280_720_500K_vvc_Flowers.mkv,1.4285714285714286,0.25559916338816535,0.5976143046671968
1280_720_500K_vvc_PES2019v2_P2.mkv,1.619047619047619,0.2861493232218596,0.6690433824641326
1280_720_8000K_av1_Center_Panorama.mkv,3.4761904761904763,0.37332647324572454,0.8728715609439694
1280_720_8000K_av1_DevilMayCry5_P2.mkv,3.761904761904762,0.35539621433147633,0.8309489698388165
1280_720_8000K_av1_Fireworks.mkv,3.7142857142857144,0.33521516015618336,0.7837638128197258
1280_720_8000K_av1_Flowers.mkv,3.4285714285714284,0.3721579994148018,0.870139561876632
1280_720_8000K_av1_PES2019v2_P2.mkv,3.142857142857143,0.27999485493429344,0.6546536707079772
1280_720_8000K_hevc_Center_Panorama.mkv,2.9047619047619047,0.35539621433147633,0.8309489698388166
1280_720_8000K_hevc_DevilMayCry5_P2.mkv,3.2857142857142856,0.385946273074873,0.9023778112773575
1280_720_8000K_hevc_Fireworks.mkv,2.9047619047619047,0.23051209286596455,0.5389584311207966
1280_720_8000K_hevc_Flowers.mkv,2.857142857142857,0.31094980276662093,0.72702917999997
1280_720_8000K_hevc_PES2019v2_P2.mkv,2.7142857142857144,0.30671899606579833,0.7171371656006361
1280_720_8000K_vvc_Center_Panorama.mkv,2.857142857142857,0.2451621050218643,0.5732115042211109
1280_720_8000K_vvc_DevilMayCry5_P2.mkv,3.7142857142857144,0.30671899606579833,0.7171371656006363
1280_720_8000K_vvc_Fireworks.mkv,3.5238095238095237,0.32060463740289513,0.7496030695673289
1280_720_8000K_vvc_Flowers.mkv,3.380952380952381,0.34419000171733216,0.8047478161629565
1280_720_8000K_vvc_PES2019v2_P2.mkv,3.4761904761904763,0.32060463740289513,0.7496030695673289
1920_1080_1000K_av1_Center_Panorama.mkv,3.619047619047619,0.3165029166236114,0.7400128699009549
1920_1080_1000K_av1_DevilMayCry5_P2.mkv,2.2857142857142856,0.3352151601561833,0.7837638128197257
1920_1080_1000K_av1_Fireworks.mkv,2.0952380952380953,0.48586256849719467,1.13599128098599
1920_1080_1000K_av1_Flowers.mkv,2.0476190476190474,0.3698099759783414,0.8646496675642958
1920_1080_1000K_av1_PES2019v2_P2.mkv,2.0,0.2342605027587306,0.5477225575051661
1920_1080_1000K_hevc_Center_Panorama.mkv,2.5714285714285716,0.3721579994148018,0.870139561876632
1920_1080_1000K_hevc_DevilMayCry5_P2.mkv,1.4761904761904763,0.21888204670888078,0.511766315719159
1920_1080_1000K_hevc_Fireworks.mkv,1.2857142857142858,0.19798626062138255,0.46291004988627577
1920_1080_1000K_hevc_Flowers.mkv,1.1428571428571428,0.2044793307105322,0.4780914437337574
